-0.00523359,0.00200315,0.0148132,0.000454404,-0.00106369,-0.000660123
-0.0414822,0.969788,0.00527595,0.000130769,-0.00311185,0.109186
-0.627507,5.58795,-0.00364487,0.00241492,-0.000163768,0.00452137
-0.934361,10.6319,0.0552271,0.00795155,-0.00120209,-0.01226
-0.998977,13.4311,0.108578,0.00295808,-0.00489639,-0.0473173
-1.0007,14.4186,0.124352,0.00329668,0.00995162,-0.0664121
-0.964789,16.1461,0.153733,0.0083402,-0.00329427,-0.081907
-0.855032,20.5746,0.241375,0.0131286,-0.00336606,-0.143413
-0.504374,23.2682,0.296164,0.0139477,-0.0204054,-0.275445
-0.355094,24.1393,0.304669,0.0247106,-0.0152323,-0.416148
0.324775,25.7614,0.353495,0.0166741,0.00740673,-0.494352
0.909827,27.0967,0.407867,0.015627,0.00196234,-0.357008
1.39461,28.6443,0.422216,0.0166414,0.00515733,-0.178382
1.49819,30.0513,0.459699,0.0253003,0.00447303,-0.131441
1.73956,32.6925,0.549188,0.029732,0.00363028,-0.0492
1.67208,33.7124,0.585787,0.028985,-0.000115578,0.0306252
1.58436,34.2329,0.605263,0.0293847,0.00795945,-0.146158
1.83048,36.4712,0.701184,0.0325433,0.0107574,-0.168653
1.94273,39.244,0.82325,0.0346277,0.00414093,-0.0621199
2.08343,42.989,0.986842,0.0377403,0.00813497,-0.175737
2.22172,43.9796,1.03993,0.0414288,0.00072826,-0.073326
2.2845,46.6311,1.16202,0.0353649,-0.0007745,-0.0662297
2.42191,50.5412,1.35391,0.0447071,0.00965292,-0.153821
2.55723,52.4913,1.44577,0.0362721,0.000732492,-0.0473022
2.67806,57.2461,1.66536,0.0386392,0.00115296,-0.0672337
2.79054,62.2595,1.89515,0.0374979,0.00476083,-0.131441
2.96273,65.3898,2.04416,0.039732,0.0019258,-0.0439273
2.9634,68.0264,2.15796,0.0632763,0.0109573,-0.141448
3.08402,69.4685,2.23783,0.0431708,0.0116494,-0.194317
3.27188,70.5039,2.28929,0.0434063,0.00888653,-0.0761653
3.19766,72.3527,2.37076,0.0318579,0.00031837,-0.0159786
3.15738,74.4917,2.45357,0.0357972,0.00313517,-0.157917
3.40743,76.672,2.55905,0.0328921,0.00304078,-0.119035
3.45248,79.7813,2.67916,0.0352994,0.00353762,-0.0732618
3.57537,82.6531,2.80807,0.0328316,0.00813721,-0.0593321
3.54741,85.0901,2.91959,0.0393029,0.00314983,-0.0888165
3.58851,88.2266,3.04835,0.0269016,0.0112509,-0.043652
3.56429,90.1497,3.12839,0.0321349,0.0178963,-0.0830879
3.72278,93.2308,3.2384,0.0249507,0.0181235,-0.17501
3.87053,94.3943,3.2876,0.0281775,0.0103332,0.00246691
3.75067,95.6652,3.32735,0.0318516,0.0140217,-0.0654751
3.84595,97.7633,3.40426,0.0255423,0.0151005,-0.15333
4.08435,101.665,3.5423,0.0321215,0.00863444,-0.123156
4.36119,104.835,3.65567,0.0314123,0.00893005,-0.0574889
4.30153,106.271,3.71942,0.0245561,0.00860497,-0.0753373
4.42527,108.972,3.80673,0.0222202,0.0149509,-0.206146
4.63514,110.79,3.86512,0.0221417,0.00629532,-0.0609509
4.72383,114.594,3.98458,0.0179713,0.00733708,-0.0565137
4.71353,118.079,4.08252,0.0204121,0.0108087,-0.125528
4.9627,121.991,4.19883,0.0205638,0.0115297,-0.128201
5.09116,126.007,4.30128,0.0134719,0.0145082,-0.116893
5.25432,128.361,4.36514,0.0104939,0.015366,-0.032187
5.21563,130.48,4.42048,-0.0180079,0.0116195,-0.0197493
5.24052,130.98,4.42861,0.00979403,0.0133288,0.141572
4.60061,133.325,4.45364,0.00774735,0.0106319,0.246805
4.2116,134.677,4.46875,0.00526805,0.0075849,0.370856
2.64562,138.311,4.51937,0.00116993,0.010855,0.33457
2.44051,138.916,4.52954,0.00419637,0.00789406,0.510138
1.34976,140.532,4.54882,-0.00354166,0.0103319,0.625366
1.12517,140.91,4.54927,-0.00218707,0.00869007,0.814285
0.124585,141.678,4.55012,-0.00355176,0.00987043,0.836287
-1.30247,142.897,4.5554,-0.0082016,0.0113439,0.918111
